"Author","Year","Construct","lOR","l.lor","u.lor","OR","l.or","u.or","varLOR","Fisher_Z","variance_Fisher_Z","raw_correlation_coefficient","Total_N"
"Evangelista et al., 2001",2001,"Neuroticism ",0.59,0.04,1.15,1.81,1.04,3.17,0.0657973626739291,0.16,0.01,0.16,164
"Gad et al., 2018",2018,"CRT2",NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,50
"Gad et al., 2018",2018,"CRT3",NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,50
"Kramer et al., 2017",2017,"Male",0,1,0,1,1,1,NA,NA,0,NA,26509
"Kramer et al., 2017",2017,"PrevCRT",0.06,NA,NA,1.06,NA,NA,NA,0.01,0,0.01,26509
"van der Wal et al., 2010",2010,"Male",-0.01,NA,NA,0.99,NA,NA,0,0,0,0,830
"van der Wal et al., 2010",2010,"Partner",0,NA,NA,1,NA,NA,0,NA,NA,NA,NA
"van der Wal et al., 2006",2006,"Depression",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"van der Wal et al., 2006",2006,"DietBenefit",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"van der Wal et al., 2006",2006,"MedicineBenefit",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"van der Wal et al., 2006",2006,"Symptoms",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"van der Wal et al., 2006",2006,"Symptoms1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Gonzalez et al., 2004",2004,"Age",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Age",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Age",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Age",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"CardiologyClinic",-1.52,NA,NA,0.22,NA,NA,0.0657973626739291,-0.23,0,-0.22,324
"Gonzalez et al., 2004",2004,"CardiologyClinic_lowPA",-0.1,NA,NA,0.91,NA,NA,0.0657973626739291,-0.02,0,-0.02,324
"Gonzalez et al., 2004",2004,"CardiologyClinic_lessThanDLA",-0.09,NA,NA,0.91,NA,NA,0.0657973626739291,-0.02,0,-0.02,324
"Gonzalez et al., 2004",2004,"CardiologyClinic_walks",-0.04,NA,NA,0.96,NA,NA,0.0657973626739291,-0.01,0,-0.01,324
"Gonzalez et al., 2004",2004,"Male",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Male1",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Male2",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Gonzalez et al., 2004",2004,"Male3",NA,NA,NA,NA,NA,NA,0.0657973626739291,NA,0,NA,324
"Ho et al., 2014",2014,"HFprogram",-0.03,NA,NA,0.97,NA,NA,0.0657973626739291,-0.01,0,-0.01,255
"Jaarsma et al., 2000",2000,"Decision",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Jaarsma et al., 2000",2000,"Knowledge",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Jaarsma et al., 2000",2000,"Skill",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Jaarsma et al., 2000",2000,"UnknownFactors",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Snipelisky et al., 2017",2017,"anemia",0.06,NA,NA,1.06,NA,NA,0.0657973626739291,0.01,0.01,0.01,110
"Snipelisky et al., 2017",2017,"Betablockers",0.01,NA,NA,1.01,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"CD",0,NA,NA,1,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"COPD",0.05,NA,NA,1.05,NA,NA,0.0657973626739291,0.01,0.01,0.01,110
"Snipelisky et al., 2017",2017,"Depression2",0.01,NA,NA,1.01,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"Diebetes",0.07,NA,NA,1.07,NA,NA,0.0657973626739291,0.01,0.01,0.01,110
"Snipelisky et al., 2017",2017,"Diuretics",0,NA,NA,1,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"Ethnicity",0.14,NA,NA,1.15,NA,NA,0.0657973626739291,0.02,0.01,0.02,110
"Snipelisky et al., 2017",2017,"Hospitalisaiton",0.36,NA,NA,1.44,NA,NA,0.0328986813369645,0.06,0.01,0.06,110
"Snipelisky et al., 2017",2017,"NYHA",0.01,NA,NA,1.01,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"NYHA2",0,NA,NA,1,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"Orthpea",0.01,NA,NA,1.01,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"SleepOpnea",0,NA,NA,1,NA,NA,0.0657973626739291,0,0.01,0,110
"Snipelisky et al., 2017",2017,"VenusPressure ",0,NA,NA,1,NA,NA,0.0657973626739291,0,0.01,0,110
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",NA,NA,NA,NA,NA,NA,0.0986960440108936,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"Anxiety",NA,NA,NA,NA,NA,NA,0.164493406684823,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"BMI",NA,NA,NA,NA,NA,NA,0.164493406684823,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"Comorbidity2",NA,NA,NA,NA,NA,NA,0.164493406684823,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"HFDuration2",NA,NA,NA,NA,NA,NA,0.164493406684823,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"Hostility2",NA,NA,NA,NA,NA,NA,0.164493406684823,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"NYHA_II2",-0.03,NA,NA,0.97,NA,NA,0.164493406684823,-0.01,0.03,-0.01,39
"Corvera-Tindel et al., 2004",2004,"NYHA_III",0,NA,NA,1,NA,NA,0.164493406684823,0,0.03,0,39
"Corvera-Tindel et al., 2004",2004,"PeakVO2_2",NA,NA,NA,NA,NA,NA,0.263189450695716,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"",-0.01,NA,NA,0.99,NA,NA,0.197392088021787,0,0.03,0,39
"Corvera-Tindel et al., 2004",2004,"",-0.02,NA,NA,0.98,NA,NA,0.197392088021787,0,0.03,0,39
"Corvera-Tindel et al., 2004",2004,"",-0.01,NA,NA,0.99,NA,NA,0.197392088021787,0,0.03,0,39
"Corvera-Tindel et al., 2004",2004,"",-0.02,NA,NA,0.98,NA,NA,0.197392088021787,0,0.03,0,39
